"","cell_order","author","MAST (cell)","NEBULA","Seurat (cell)","devil (MLE-NB)","devil (MOM-NB)","edgeR (Pb)","glmGamPoi (cell)","limma (Pb)","limma (cell)","limmaDupCorr (cell)"
"1","< 1k","bca","7.543 ± 1.242","4.089 ± 0.705","0.037 ± 0.265","0.326 ± 0.081","0.233 ± 0.053","0.136 ± 0.050","1.057 ± 0.470","0.036 ± 0.001","0.485 ± 0.284","15.214 ± 5.923"
"2","< 1k","kumar","7.216 ± 1.532","4.497 ± 0.456","0.044 ± 0.006","0.357 ± 0.130","0.248 ± 0.036","0.121 ± 0.165","1.259 ± 0.383","0.036 ± 0.001","0.468 ± 0.265","16.475 ± 5.771"
"3","< 1k","yazar","6.366 ± 1.272","4.174 ± 0.485","0.043 ± 0.005","0.410 ± 0.087","0.324 ± 0.116","0.138 ± 0.181","0.875 ± 0.323","0.037 ± 0.002","0.332 ± 0.157","9.482 ± 4.183"
"4","1k-20k","bca","31.505 ± 11.206","10.176 ± 4.291","0.266 ± 0.223","2.415 ± 1.466","1.862 ± 1.160","0.120 ± 0.030","5.093 ± 2.585","0.036 ± 0.003","5.337 ± 2.537","1415.861 ± 1025.565"
"5","1k-20k","hsc","35.912 ± 13.034","13.614 ± 5.428","0.356 ± 0.258","3.238 ± 1.514","2.609 ± 1.118","0.117 ± 0.022","6.474 ± 2.967","0.036 ± 0.003","6.801 ± 2.822","1332.520 ± 982.763"
"6","1k-20k","kumar","21.234 ± 11.364","7.079 ± 3.112","0.144 ± 0.133","1.541 ± 1.353","1.110 ± 1.093","0.130 ± 0.041","3.548 ± 2.412","0.037 ± 0.006","2.967 ± 2.533","942.979 ± 923.815"
"7","1k-20k","yazar","15.876 ± 6.968","6.797 ± 1.761","0.112 ± 0.078","1.354 ± 0.707","1.179 ± 0.620","0.180 ± 0.040","2.921 ± 1.467","0.044 ± 0.006","1.848 ± 1.366","322.808 ± 906.843"
"8","> 20k","bca","116.624 ± 35.304","42.120 ± 14.790","1.526 ± 0.615","12.398 ± 4.949","10.162 ± 3.800","0.165 ± 0.031","23.775 ± 9.059","0.040 ± 0.004","24.777 ± 8.582",NA
"9","> 20k","hsc","145.120 ± 53.498","57.397 ± 25.596","1.949 ± 1.346","15.903 ± 6.075","13.303 ± 4.566","0.197 ± 0.030","29.136 ± 12.306","0.043 ± 0.006","31.623 ± 11.953",NA
"10","> 20k","kumar","74.735 ± 11.044","24.476 ± 3.651","0.974 ± 0.120","8.798 ± 1.759","7.073 ± 1.312","0.186 ± 0.027","15.834 ± 3.067","0.041 ± 0.003","15.456 ± 2.662",NA
