n_genes,n_cells,n_gpus,batch_size,time,gpu_used_memory_mb
1000,10000,1,100,0.434007167816162,1954.0
1000,10000,1,200,0.352302074432373,1988.0
1000,10000,1,500,0.318653583526611,2094.0
1000,10000,1,1000,0.383005857467651,2270.0
1000,100000,1,100,3.0462327003479,2268.0
1000,100000,1,200,2.22305750846863,2608.0
1000,100000,1,500,4.28494763374329,3632.0
1000,100000,1,1000,3.8838472366333,5342.0
1000,1000000,1,100,85.4927501678467,5356.0
1000,1000000,1,200,54.2589745521545,8790.0
1000,1000000,1,500,41.902795791626,19086.0
1000,1000000,1,1000,38.8954062461853,36254.0
5000,10000,1,100,3.50614380836487,1930.0
5000,10000,1,200,2.48650050163269,1964.0
5000,10000,1,500,2.13301014900208,2070.0
5000,10000,1,1000,2.30937099456787,2246.0
5000,100000,1,100,21.5895767211914,2244.0
5000,100000,1,200,21.6275715827942,2584.0
5000,100000,1,500,20.8707950115204,3608.0
5000,100000,1,1000,18.8418126106262,5318.0
5000,1000000,1,100,453.812918901443,5332.0
5000,1000000,1,200,286.031368732452,8766.0
5000,1000000,1,500,219.448871612549,19062.0
5000,1000000,1,1000,199.958205699921,36230.0
10000,10000,1,100,10.1162509918213,1906.0
10000,10000,1,200,6.75892496109009,1940.0
10000,10000,1,500,5.09678101539612,2046.0
10000,10000,1,1000,4.44048810005188,2222.0
10000,100000,1,100,59.6278548240662,2220.0
10000,100000,1,200,50.0053532123566,2560.0
10000,100000,1,500,41.9813666343689,3584.0
10000,100000,1,1000,37.9014012813568,5294.0
10000,1000000,1,100,994.685950756073,5308.0
10000,1000000,1,200,705.095363378525,8742.0
10000,1000000,1,500,583.247219085693,19038.0
10000,1000000,1,1000,503.622177124023,36206.0
1000,10000,2,100,0.368361711502075,1956.0
1000,10000,2,200,0.264613628387451,1990.0
1000,10000,2,500,0.254099369049072,2096.0
1000,10000,2,1000,0.462050437927246,2272.0
1000,100000,2,100,2.02085733413696,2272.0
1000,100000,2,200,1.72860431671143,2610.0
1000,100000,2,500,2.67427659034729,3636.0
1000,100000,2,1000,3.83292102813721,5346.0
1000,1000000,2,100,48.1045937538147,5362.0
1000,1000000,2,200,36.8927056789398,8796.0
1000,1000000,2,500,26.5561134815216,19092.0
