n_genes,n_cells,n_gpus,batch_size,time,speedup
1000,10000,1,100,0.434007167816162,1.0
1000,10000,1,200,0.352302074432373,1.0
1000,10000,1,500,0.318653583526611,1.0
1000,10000,1,1000,0.383005857467651,1.0
1000,100000,1,100,3.0462327003479,1.0
1000,100000,1,200,2.22305750846863,1.0
1000,100000,1,500,4.28494763374329,1.0
1000,100000,1,1000,3.8838472366333,1.0
1000,1000000,1,100,85.4927501678467,1.0
1000,1000000,1,200,54.2589745521545,1.0
1000,1000000,1,500,41.902795791626,1.0
1000,1000000,1,1000,38.8954062461853,1.0
5000,10000,1,100,3.50614380836487,1.0
5000,10000,1,200,2.48650050163269,1.0
5000,10000,1,500,2.13301014900208,1.0
5000,10000,1,1000,2.30937099456787,1.0
5000,100000,1,100,21.5895767211914,1.0
5000,100000,1,200,21.6275715827942,1.0
5000,100000,1,500,20.8707950115204,1.0
5000,100000,1,1000,18.8418126106262,1.0
5000,1000000,1,100,453.812918901443,1.0
5000,1000000,1,200,286.031368732452,1.0
5000,1000000,1,500,219.448871612549,1.0
5000,1000000,1,1000,199.958205699921,1.0
10000,10000,1,100,10.1162509918213,1.0
10000,10000,1,200,6.75892496109009,1.0
10000,10000,1,500,5.09678101539612,1.0
10000,10000,1,1000,4.44048810005188,1.0
10000,100000,1,100,59.6278548240662,1.0
10000,100000,1,200,50.0053532123566,1.0
10000,100000,1,500,41.9813666343689,1.0
10000,100000,1,1000,37.9014012813568,1.0
10000,1000000,1,100,994.685950756073,1.0
10000,1000000,1,200,705.095363378525,1.0
10000,1000000,1,500,583.247219085693,1.0
10000,1000000,1,1000,503.622177124023,1.0
1000,10000,2,100,0.368361711502075,1.1782092282240828
1000,10000,2,200,0.264613628387451,1.331382954760468
1000,10000,2,500,0.254099369049072,1.2540510616737195
1000,10000,2,1000,0.462050437927246,0.8289265111095051
1000,100000,2,100,2.02085733413696,1.5073962168877415
1000,100000,2,200,1.72860431671143,1.286041858727895
1000,100000,2,500,2.67427659034729,1.602282893702791
1000,100000,2,1000,3.83292102813721,1.0132865269391786
1000,1000000,2,100,48.1045937538147,1.7772263207412933
1000,1000000,2,200,36.8927056789398,1.4707236445151335
1000,1000000,2,500,26.5561134815216,1.5778963974070603
1000,1000000,2,1000,38.8315563201904,1.0016442793450877
5000,10000,2,100,1.901535987854,1.8438482525496498
5000,10000,2,200,1.57193732261658,1.58180639002436
5000,10000,2,500,1.27812743186951,1.6688556209783698
5000,10000,2,1000,1.30345320701599,1.7717329491671887
5000,100000,2,100,12.7908308506012,1.6878947875521813
5000,100000,2,200,12.8778228759766,1.6794431629542084
5000,100000,2,500,12.3636891841888,1.6880717964190528
5000,100000,2,1000,12.886771440506,1.4621049731201234
5000,1000000,2,100,264.286599636078,1.717124211088804
5000,1000000,2,200,178.235451459885,1.6047950415567485
5000,1000000,2,500,180.481826782227,1.21590564282874
5000,1000000,2,1000,187.055370569229,1.0689786938029489
10000,10000,2,100,9.50232124328613,1.0646083975501188
10000,10000,2,200,6.55882596969604,1.030508355049909
10000,10000,2,500,3.8817343711853,1.3130164323530982
10000,10000,2,1000,2.72671103477478,1.6285143689304262
10000,100000,2,100,33.8563461303711,1.7612017136892562
10000,100000,2,200,29.1088962554932,1.7178718414278586
10000,100000,2,500,25.7968649864197,1.62738250002352
10000,100000,2,1000,33.9687123298645,1.1157738601717548
10000,1000000,2,100,626.43799829483,1.587844213575194
10000,1000000,2,200,483.543308734894,1.458184511379721
10000,1000000,2,500,427.061188459396,1.3657228398341021
10000,1000000,2,1000,415.682099819183,1.2115560841881161
1000,10000,4,100,0.26076340675354,1.6643714439057127
1000,10000,4,200,0.218800067901611,1.6101552335477087
1000,10000,4,500,0.278747081756592,1.1431638369755786
1000,10000,4,1000,0.432975053787231,0.8845910500327914
1000,100000,4,100,1.64340734481812,1.8536078166822567
1000,100000,4,200,1.5573525428772,1.427459388457763
1000,100000,4,500,2.50467681884766,1.7107786527583582
1000,100000,4,1000,3.96296977996826,0.9800345327549801
1000,1000000,4,100,33.382435798645,2.561009947971408
1000,1000000,4,200,28.3428552150726,1.914379272674682
1000,1000000,4,500,26.4772336483002,1.5825971983412284
1000,1000000,4,1000,38.9437937736511,0.9987575034998635
5000,10000,4,100,1.20265412330627,2.9153384505313746
5000,10000,4,200,0.994061708450317,2.5013542725722693
5000,10000,4,500,0.838967084884644,2.5424241158344896
5000,10000,4,1000,1.03728437423706,2.226362463298891
5000,100000,4,100,8.31928491592407,2.5951240929213113
5000,100000,4,200,8.57802820205688,2.5212754112429057
5000,100000,4,500,8.91088080406189,2.3421696990949274
5000,100000,4,1000,9.79841947555542,1.9229440684420338
5000,1000000,4,100,176.15959405899,2.5761464842469843
5000,1000000,4,200,130.678493499756,2.188817463930942
5000,1000000,4,500,101.919170379639,2.1531657959451915
5000,1000000,4,1000,119.270009040833,1.676517066679049
10000,10000,4,100,3.15658354759216,3.2048101497386217
10000,10000,4,200,2.22793054580688,3.0337233688953438
10000,10000,4,500,1.80549240112305,2.822931302411368
10000,10000,4,1000,1.81340360641479,2.4487036886570426
10000,100000,4,100,20.9583656787872,2.8450622409178563
10000,100000,4,200,18.4450831413269,2.7110397296240825
10000,100000,4,500,15.9049186706543,2.6395209874180297
10000,100000,4,1000,16.5845150947571,2.285348776542683
10000,1000000,4,100,430.149268627167,2.3124204161281967
10000,1000000,4,200,363.118414878845,1.9417780384775616
10000,1000000,4,500,358.330482721329,1.62767960642433
10000,1000000,4,1000,364.975075483322,1.3798810136749644
1000,10000,8,100,0.267024517059326,1.6253457644855012
1000,10000,8,200,0.253506660461426,1.389715259516741
1000,10000,8,500,0.357184886932373,0.8921250455564285
1000,10000,8,1000,0.449583768844604,0.8519121107328826
1000,100000,8,100,1.68749666213989,1.8051785041666493
1000,100000,8,200,1.44049263000488,1.5432619800776761
1000,100000,8,500,2.56117558479309,1.6730393883125583
1000,100000,8,1000,3.90535664558411,0.9944923317118473
1000,1000000,8,100,26.2728455066681,3.254034670365205
1000,1000000,8,200,20.2705030441284,2.6767453394735203
1000,1000000,8,500,26.6982734203339,1.5694945935984028
1000,1000000,8,1000,39.2688100337982,0.9904910847236902
5000,10000,8,100,0.842101097106934,4.163566370368525
5000,10000,8,200,0.715452432632446,3.4754239250872687
5000,10000,8,500,0.800458431243896,2.664735688632108
5000,10000,8,1000,0.812761068344116,2.841389781713932
5000,100000,8,100,6.38625001907349,3.380634434403743
5000,100000,8,200,6.50982904434204,3.322294861428291
5000,100000,8,500,7.20775365829468,2.895603262953125
5000,100000,8,1000,6.79881858825684,2.7713362793898404
5000,1000000,8,100,121.713533401489,3.728532943041577
5000,1000000,8,200,101.729671239853,2.811680852266414
5000,1000000,8,500,133.66156244278,1.6418248268382634
5000,1000000,8,1000,127.79331111908,1.5647000922731904
10000,10000,8,100,1.97891879081726,5.112009163167054
10000,10000,8,200,1.56213235855103,4.326730013684238
10000,10000,8,500,1.46920537948608,3.4690732055302886
10000,10000,8,1000,1.43894147872925,3.0859407180153977
10000,100000,8,100,14.3231031894684,4.163054195400186
10000,100000,8,200,13.1861910820007,3.7922515229295044
10000,100000,8,500,16.084212064743,2.6100978068047933
10000,100000,8,1000,14.570549249649,2.6012335315547443
10000,1000000,8,100,360.113026857376,2.7621493158313926
10000,1000000,8,200,302.156665086746,2.3335423138063147
10000,1000000,8,500,324.943643569946,1.7949180746480602
10000,1000000,8,1000,304.26948094368,1.6551846592108364
